,p_x,p_y,p_z,v_x,v_y,v_z,a_x,a_y,a_z
197,0.06141315351676724,0.005657592941530343,-0.0019854134603098927,-0.09846054270051054,0.049924682669612426,0.0031293975896609888,-0.032864603690723686,-0.026599063219914135,0.0010720533172939768
198,0.06041411757788684,0.006161620513189803,-0.001953302686749092,-0.09879103916421027,0.049650855232135985,0.003140621858418224,-0.03254456318383351,-0.02702375861468632,0.0010592886783148266
199,0.05941263497369198,0.0066630227599810965,-0.0019218158676769237,-0.09911957010498317,0.04937745155766503,0.003150848185396864,-0.03223570531217746,-0.02745387264778221,0.0010545484426082974
200,0.05840694628326093,0.00716151390723252,-0.0018894980109948056,-0.09944381219678186,0.049094914311018395,0.0031619764643810422,-0.031909805755280116,-0.02787147970894262,0.0010418530179208312
201,0.05739889777670715,0.007657194774779219,-0.0018577858442732076,-0.09976574367152759,0.04881305409355894,0.003171945709009761,-0.03159621225409975,-0.0282881735006769,0.0010365914868667924
202,0.056386689973912496,0.008149978252627088,-0.001825266110387358,-0.10008363549492738,0.04852207879762969,0.003182967441990095,-0.031264675359868835,-0.028698650097080947,0.0010241027116916434
203,0.05537220415793487,0.00863976687043122,-0.0017933307535729082,-0.10039885334756493,0.04823190642909305,0.0031926837889215166,-0.03094612576597871,-0.02910158899492913,0.001018187423652072
204,0.054353613193624306,0.009126674357816222,-0.0017606142636616973,-0.10071029454168845,0.04793277162048237,0.0032035857373190492,-0.03060917873968529,-0.029504798904021967,0.0010060282957416978
205,0.05333282069346568,0.009610405495745988,-0.0017284581423921974,-0.10101868921704356,0.047634434251286606,0.003213055861910286,-0.03028545545844283,-0.02989375844589865,0.0009993435086548472
206,0.052307984736979174,0.010091271651404776,-0.001695549882458014,-0.10132357501472192,0.047327423011952925,0.00322382244336931,-0.02994332467985917,-0.030289467766346792,0.0009876185972440778
207,0.05128101829941756,0.010568785811738035,-0.0016631757379139689,-0.1016250415418107,0.04702107252901808,0.0032330551385044786,-0.029614219216897202,-0.03066433571552383,0.0009800689496361078
208,0.05025007764575751,0.011043448370117392,-0.0016300805159032983,-0.10192326295386409,0.04670647021371357,0.003243668839599441,-0.029267124230298376,-0.031052212849346034,0.0009688611077874881
209,0.04921707222460181,0.011514591833565735,-0.0015974914439120802,-0.10221770080747425,0.046392265218818826,0.0032526745759371752,-0.028932443083203217,-0.03141298770048197,0.0009603745227816531
210,0.048180169204406154,0.011982891740798474,-0.0015642138557405705,-0.10250914492629895,0.04607035721277881,0.0032631164236857696,-0.028580591010010065,-0.03179260684132578,0.0009497423824543819
211,0.047141262039844256,0.012447516567124506,-0.0015314133363324434,-0.10279645777542695,0.04574846493028198,0.0032719068591818765,-0.02824016101715539,-0.03213939281926747,0.0009402721665847797
212,0.04609854093445376,0.012909298155636684,-0.0014979577418421375,-0.10308100818689635,0.04541953450818864,0.0032821569350591114,-0.027883741577477215,-0.032510240917590055,0.0009302484822178715
213,0.045053871624059605,0.013367262140915326,-0.0014649496583974964,-0.10336110354237087,0.04509013255170078,0.0032907443909467884,-0.027537414597851223,-0.032843239579410655,0.000919774524016927
214,0.04400547858772075,0.013822373339808625,-0.001431320167925465,-0.10363864083250283,0.044754458906705576,0.003300782369170454,-0.02717659586926595,-0.033204726493784864,0.0009103654193169475
215,0.04295518914720142,0.014273539933776114,-0.0013981088154217947,-0.1039114296087235,0.04441773684020164,0.0033091792906879565,-0.026824252676861653,-0.033524225350461,0.0008988945047331354
216,0.0419012721381441,0.014721832510822708,-0.0013643092872890339,-0.10418183194920928,0.04407559334335874,0.0033189849828913,-0.026459177669769095,-0.03387569684874477,0.0008900796213132549
217,0.040845507050229934,0.015166070698979128,-0.0013308993695182458,-0.10444722795653633,0.043731753979014555,0.00332720340301955,-0.02610073096589353,-0.03418205526259754,0.0008776448402383416
